district,type,state,nces_id,team_name,project_count,assigned_manager
Christina School District,Regular school,DE,100020000224,Luminary,1,Tina Johnson
Beacon Academy,Regular school,MN,270036604879,Genesis,2,Paul Perry
Topeka Public Schools,Regular school,KS,201226001456,Luminary,2,Amanda Becker
Jefferson Township Public School District,Regular school,NJ,340780004266,Endeavor,3,Morgan Ramirez
Middleton District,Regular school,ID,160213000378,Endeavor,3,Joshua Grant
Stanly County Schools,Regular school,NC,370432001713,Horizon,1,Blake Martin
Princeton City,Regular school,OH,390446701557,Luminary,3,Sharon Coleman
Ceres Unified,Regular school,CA,60813000788,Endeavor,1,Morgan Ramirez
Academy School District No. 20 In The County Of El Paso An,Regular school,CO,80192000007,Horizon,2,Raven Bowman
Lamar County,Regular school,GA,130321002084,Odyssey,2,Jacob Key
Ripon Area School District,Regular school,WI,551302002978,Luminary,2,Jackson Martinez
Kansas City,Regular school,KS,200795001437,Genesis,3,Dana Gray
Bellflower Unified,Alternative Education School,CA,60444000408,Genesis,3,Paul Perry
Carbon District,Regular school,UT,490015000097,Apex,1,Gregory Ruiz
Rsu 54/Msad 54,Regular school,ME,231459023112,Luminary,2,Tina Johnson
Plano Isd,Regular school,TX,483510008152,Luminary,2,Jason Owen
Shoreline School District,Regular school,WA,530792001299,Luminary,1,Anthony Reid
Pasadena Isd,Regular school,TX,483432012706,Luminary,3,Tina Johnson
Folsom-Cordova Unified,Regular school,CA,61389001569,Apex,1,Deborah Bell
Higley Unified School District (4248),Regular school,AZ,40378001392,Genesis,1,Debra Smith
Polk,Regular school,FL,120159001760,Odyssey,2,Sean Green
Madison Co School Dist,Regular school,MS,280279001318,Luminary,3,Jason Owen
Wood Dale Sd 7,Regular school,IL,174302004317,Odyssey,2,Erika Stewart
Spokane School District,Regular school,WA,530825001407,Luminary,2,Anthony Reid
Granite District,Regular school,UT,490036000258,Genesis,1,Mary Castro
Lee,Regular school,FL,120108004109,Odyssey,3,Sean Green
Shenendehowa Central School District,Regular school,NY,362667003635,Genesis,2,Debra Smith
Pajaro Valley Unified,Regular school,CA,62949004539,Horizon,2,Jared Hernandez
Toms River Regional School District,Regular school,NJ,341623004732,Apex,2,Samantha Jackson
District Of Columbia Public Schools,Regular school,DC,110003000074,Genesis,2,Mary Castro
Plumas Unified,Regular school,CA,63117010272,Luminary,2,Jackson Martinez
East Valley School District (Spokane),Special education school,WA,530228003111,Genesis,3,Jacqueline Barnes
Pinon Unified District (4390),Regular school,AZ,40002301355,Odyssey,1,Karla Henson
Kankakee Area Spec Educ Coop,Special education school,IL,170005605105,Luminary,1,Sharon Coleman
Orland Sd 135,Regular school,IL,173022003122,Luminary,3,Brandon Berry
International Leadership Of Texas (Iltexas),Regular school,TX,480144013264,Odyssey,2,Erika Stewart
Columbia,Regular school,FL,120036000360,Luminary,1,Brandon Berry
Monessen City Sd,Regular school,PA,421560000087,Luminary,1,Jackson Martinez
West Washington School Corp,Regular school,IN,181293002063,Horizon,1,Keith Foster
Harmony Science Acad (San Antonio),Regular school,TX,480026613421,Horizon,3,Timothy Allen
Merced Union High,Alternative Education School,CA,62466011689,Luminary,3,Andrew Woodward
Dorchester 02,Regular school,SC,450201001568,Endeavor,2,Tiffany Nash
Peach Springs Unified District (4369),Regular school,AZ,40612002033,Genesis,3,Stephanie Arroyo
El Paso Isd,Regular school,TX,481830010640,Luminary,2,Anthony Reid
Cincinnati Public Schools,Regular school,OH,390437500349,Genesis,1,Mary Castro
Racine Unified School District,Regular school,WI,551236001622,Genesis,2,Mary Castro
Harrison School District No. 2 In The County Of El Paso An,Regular school,CO,80453001443,Luminary,3,Sharon Coleman
Montgomery County Public Schools,Regular school,MD,240048000773,Odyssey,3,Erika Stewart
Colton Joint Unified,Regular school,CA,60939007687,Odyssey,1,Eric Rose
Andover,Regular school,KS,200336000860,Luminary,2,Tina Johnson
Victor Elementary,Regular school,CA,64104008586,Genesis,1,Paul Perry
Success Academy Charter School-Harlem 4,Regular school,NY,360095306018,Apex,3,Matthew King
Adrian Public School District,Regular school,MN,270273003076,Luminary,2,Sharon Coleman
Glenburn 26,Regular school,ND,380785000237,Apex,3,Michael Massey
Huber Heights City,Regular school,OH,390487503395,Luminary,1,Jackson Martinez
City Of Chicago Sd 299,Regular school,IL,170993000807,Apex,2,Benjamin Mcneil
Madera County Superintendent Of Schools,Alternative Education School,CA,69101708131,Genesis,2,Jacqueline Barnes
Blount County,Regular school,TN,470030002099,Apex,3,Gregory Ruiz
Erie City Sd,Regular school,PA,420930002004,Genesis,1,Alexander Harmon
Konocti Unified,Regular school,CA,62007002401,Genesis,3,Paul Perry
Wahluke School District,Regular school,WA,530936002070,Odyssey,3,Eric Rose
Colorado Springs School District No. 11 In The County Of E,Regular school,CO,80306000238,Apex,3,Deborah Bell
Kaizen Education Foundation Dba Discover U Element (91328),Regular school,AZ,40089403379,Odyssey,2,Troy Collins
South Glens Falls Central School District,Regular school,NY,362724003715,Luminary,1,Anthony Reid
Waterloo Cusd 5,Regular school,IL,174107000187,Apex,1,Henry Gordon
Montgomery County Public Schools,Regular school,MD,240048000814,Apex,1,Candice Ramos
Londonderry School District,Regular school,NH,330441000233,Apex,1,Emily Levy
City Of Chicago Sd 299,Regular school,IL,170993006515,Endeavor,2,Bobby Curry
Mifflin County Sd,Regular school,PA,421529000784,Apex,2,Michael Massey
Victoria Isd,Regular school,TX,484415005006,Horizon,2,Raven Bowman
Inspire Academics Inc.,Regular school,ID,160001100866,Endeavor,1,Stacey Mays
New Caney Isd,Regular school,TX,483240013059,Luminary,1,Amanda Becker
Dublin Unified,Regular school,CA,60001912927,Luminary,2,Jason Owen
School City Of Hammond,Regular school,IN,180432000736,Luminary,3,Sharon Coleman
Garden Grove Unified,Regular school,CA,61488001865,Odyssey,3,Erika Stewart
Prince George'S County Public Schools,Regular school,MD,240051001701,Luminary,2,Jason Owen
Hawaii Department Of Education,Regular school,HI,150003000149,Endeavor,2,Randy Chavez
Hinton Comm School District,Regular school,IA,191416000844,Luminary,3,Andrew Woodward
Craven County Schools,Regular school,NC,370331000388,Apex,1,Gregory Ruiz
College Station Isd,Regular school,TX,480735008130,Luminary,2,Amanda Becker
West Springfield,Regular school,MA,251251002048,Luminary,2,Catherine Wood
Christina School District,Regular school,DE,100020000239,Apex,1,Deborah Bell
Mount Vernon School District,Regular school,WA,530540002262,Luminary,1,Jackson Martinez
Youngstown City,Regular school,OH,390451602062,Odyssey,1,Karla Henson
Columbia Cusd 4,Regular school,IL,171074006140,Odyssey,1,Valerie Morales
Griggsville-Perry Cusd 4,Regular school,IL,171779002073,Apex,2,Emily Levy
Tuscaloosa City,Regular school,AL,10336002101,Endeavor,3,Tiffany Nash
Neshaminy Sd,Regular school,PA,421641001077,Luminary,1,Jordan Walker
Mingo County Schools,Regular school,WV,540090001492,Luminary,2,Andrew Woodward
Miller Place Union Free School District,Regular school,NY,361941004303,Apex,3,Samantha Jackson
Arp Isd,Regular school,TX,480873000270,Endeavor,1,Connor Banks
Sullivan County,Regular school,TN,470399001624,Odyssey,3,Jacob Key
Moberly,Regular school,MO,292110001157,Genesis,2,Alexander Harmon
Brownsville Isd,Regular school,TX,481168012077,Genesis,1,Larry Howard
Omaha Public Schools,Regular school,NE,317482001359,Odyssey,1,Sean Green
Northeast Central School District,Regular school,NY,363039005848,Apex,3,Matthew King
Lakeview Community Schools,Regular school,NE,310011202219,Luminary,3,Tina Johnson
Hatfield,Regular school,MA,250594000843,Odyssey,2,Troy Collins
Muscogee County,Regular school,GA,130387001420,Luminary,3,Tina Johnson
Edinburg Cisd,Regular school,TX,481818008286,Apex,1,Matthew King
St. Vrain Valley School District No. Re1J,Regular school,CO,80537006594,Apex,1,Deborah Bell
Montgomery County,Regular school,AL,10243001458,Luminary,1,Andrew Woodward
South Lane Sd 45J3,Alternative Education School,OR,411158001390,Apex,3,Emily Levy
Futures High District,Regular school,CA,60177511070,Luminary,1,Catherine Wood
San Diego Unified,Regular school,CA,63432005430,Genesis,2,Paul Perry
Harnett County Schools,Regular school,NC,370201002733,Genesis,1,Paul Perry
Cottonwood-Oak Creek Elementary District (4487),Regular school,AZ,40237003619,Luminary,1,Andrew Woodward
Charter Oak Unified,Alternative Education School,CA,60819005854,Apex,2,Brian Lowe
Fabens Isd,Alternative Education School,TX,481890010651,Genesis,2,Stephanie Arroyo
Zeeland Public Schools,Regular school,MI,263666007291,Endeavor,3,Mackenzie Rice
Brevard,Regular school,FL,120015000093,Apex,1,Brian Lowe
Caddo Parish,Regular school,LA,220030000190,Luminary,2,Jordan Walker
Cumberland County Schools,Regular school,NC,370001103539,Luminary,3,Sharon Coleman
Line Mountain Sd,Regular school,PA,421446006786,Endeavor,3,Randy Chavez
Hitchcock Co Sch System,Regular school,NE,310012000185,Odyssey,1,Steven Lamb
Shawano School District,Regular school,WI,551362001779,Endeavor,3,Bobby Curry
Park Rapids Public School District,Regular school,MN,272808001236,Luminary,2,Brandon Berry
Tulare City,Alternative Education School,CA,63987012991,Genesis,1,Nancy Carroll
Andover School District,Regular school,NH,330150000008,Luminary,1,Amanda Becker
Prince William Co Pblc Schs,Regular school,VA,510313001402,Odyssey,1,Troy Collins
Wheatland,Regular school,KS,200663001873,Apex,2,Deborah Bell
Sheboygan Area School District,Regular school,WI,551365001796,Horizon,1,Keith Foster
Lake,Regular school,FL,120105001103,Apex,3,Benjamin Mcneil
Yellowstone Academy Elem,Regular school,MT,302886001114,Luminary,2,Amanda Becker
Santa Fe R-X,Regular school,MO,290300000013,Endeavor,1,Morgan Ramirez
Washoe County School District,Regular school,NV,320048000216,Genesis,2,Larry Howard
Oconee County,Regular school,GA,130396004316,Luminary,3,Sharon Coleman
Beacon City School District,Regular school,NY,360414000178,Luminary,2,Tina Johnson
Loneman Day School,Regular school,BI,590004500116,Apex,1,Michael Massey
Vista Unified,Regular school,CA,64119006819,Luminary,2,Andrew Woodward
Cordova City School District,Regular school,AK,20006000627,Genesis,3,Stephanie Arroyo
Central Kitsap School District,Regular school,WA,530108001753,Luminary,3,Jordan Walker
Union Sd 81,Regular school,IL,173966004004,Luminary,3,Amanda Becker
Deer River Public School District,Special education school,MN,271014004672,Endeavor,3,Tiffany Nash
Gaston County Schools,Regular school,NC,370162000670,Genesis,2,Debra Smith
Cherokee Comm School District,Regular school,IA,190717000332,Luminary,1,Andrew Woodward
St. Landry Parish,Regular school,LA,220156002006,Endeavor,2,Randy Chavez
Breckinridge County,Regular school,KY,210072000138,Genesis,3,Larry Howard
Northeastern York Sd,Regular school,PA,421752006121,Horizon,1,Raven Bowman
Enid,Regular school,OK,401092000506,Apex,3,Matthew King
Albuquerque Public Schools,Regular school,NM,350006000918,Endeavor,2,Randy Chavez
Falls Church City Pblc Schs,Regular school,VA,510129002971,Genesis,3,Debra Smith
Christina School District,Special education school,DE,100020000349,Luminary,1,Catherine Wood
Gunter Isd,Regular school,TX,482196002213,Luminary,2,Anthony Reid
Beacon City School District,Regular school,NY,360414000177,Luminary,2,Jason Owen
Arizona Community Development Corporation (79947),Regular school,AZ,40036102299,Luminary,3,Brandon Berry
New York City Geographic District # 2,Regular school,NY,360007705085,Luminary,2,Anthony Reid
Bonsall Unified,Regular school,CA,60142609519,Luminary,2,Brandon Berry
Comal Isd,Regular school,TX,481473000966,Endeavor,3,Morgan Ramirez
Onondaga Central School District,Regular school,NY,362181003100,Apex,3,Gregory Ruiz
Snoqualmie Valley School District,Special education school,WA,530804003309,Endeavor,2,Mackenzie Rice
Richard Milburn Alter High School (Killeen),Alternative Education School,TX,480007509507,Luminary,3,Amanda Becker
El Rancho Unified,Regular school,CA,61218001373,Genesis,3,Paul Perry
Dubuque Comm School District,Regular school,IA,190948000620,Luminary,2,Brandon Berry
Coleman,Regular school,OK,400831000347,Horizon,2,Jared Hernandez
Oxnard,Regular school,CA,62922004509,Luminary,2,Catherine Wood
Charles County Public Schools,Regular school,MD,240027000585,Apex,1,Matthew King
Horizon Community Learning Center Inc. (92620),Regular school,AZ,40092103428,Odyssey,1,Karla Henson
Hawaii Department Of Education,Regular school,HI,150003000015,Horizon,1,Mathew Clarke
Perry,Regular school,OK,402385001266,Luminary,2,Jordan Walker
Orangefield Isd,Regular school,TX,483378003767,Odyssey,2,Troy Collins
Puerto Rico Department Of Education,Regular school,PR,720003001057,Apex,3,Candice Ramos
Pharr-San Juan-Alamo Isd,Regular school,TX,483486007653,Luminary,1,Andrew Woodward
Clover Park School District,Regular school,WA,530141000256,Odyssey,2,Jacob Key
Twin Valley Unified School District,Regular school,VT,500041800540,Luminary,2,Jordan Walker
Aleutians East Borough School District,Regular school,AK,20000700007,Genesis,3,Nancy Carroll
Chico Unified,Regular school,CA,60837000815,Odyssey,3,Eileen Williams
Fairfield 01,Regular school,SC,450210001392,Genesis,2,Stephanie Arroyo
Circle Elem,Regular school,MT,300679000186,Apex,3,Benjamin Mcneil
St. Joseph,Regular school,MO,292706001667,Luminary,1,Catherine Wood
Pleasant Valley Sd,Regular school,PA,421929000546,Apex,1,Michael Massey
Los Angeles Unified,Regular school,CA,62271002963,Endeavor,1,Connor Banks
Valley Central School District (Montgomery),Regular school,NY,361968001801,Apex,2,Benjamin Mcneil
Roselle Sd 12,Regular school,IL,173471003630,Luminary,3,Amanda Becker
Dickinson Isd,Regular school,TX,481707005455,Luminary,3,Brandon Berry
Vision Charter School Inc.,Regular school,ID,160014100942,Apex,1,Gregory Ruiz
Brentwood Union Elementary,Regular school,CA,60591008455,Genesis,1,Nancy Carroll
Capital Preparatory (Cp) Harlem Charter School,Regular school,NY,360114406597,Luminary,2,Amanda Becker
Miami-Dade,Regular school,FL,120039002711,Apex,3,Gregory Ruiz
Ouachita School District,Regular school,AR,51098000828,Genesis,3,Jacqueline Barnes
New York City Geographic District # 2,Regular school,NY,360007700595,Horizon,2,Keith Foster
Williston 1,Regular school,ND,381988000860,Apex,3,Matthew King
Solvay Union Free School District,Regular school,NY,362715005736,Apex,1,Matthew King
Scott Co. R-Iv,Regular school,MO,290489000059,Apex,1,Brian Lowe
Juneau Borough School District,Regular school,AK,20021000265,Luminary,2,Brandon Berry
Tippecanoe Valley School Corp,Regular school,IN,181137001839,Apex,2,Gregory Ruiz
Piggott School District,Regular school,AR,51137000851,Genesis,2,Nancy Carroll
Achievement School District,Regular school,TN,470014701140,Apex,2,Emily Levy
Kaufman Isd,Regular school,TX,482520013740,Genesis,2,Nancy Carroll
Anchorage School District,Regular school,AK,20018000058,Endeavor,1,Tiffany Nash
Midland Comm School District,Regular school,IA,191920002162,Horizon,1,Nathan Medina
Brownsville Isd,Regular school,TX,481168003325,Endeavor,3,Bobby Curry
Kenosha School District,Regular school,WI,550732000826,Apex,1,Samantha Jackson
Springfield School District No. Re-4,Regular school,CO,80663001141,Luminary,1,Sharon Coleman
Lake Zurich Cusd 95,Regular school,IL,172190002464,Genesis,2,Cynthia Oliver
Holmes,Regular school,FL,120090001044,Apex,1,Brian Lowe
Washburn School District,Regular school,WI,551554001984,Luminary,3,Jordan Walker
Florence Isd,Alternative Education School,TX,481932012084,Luminary,1,Sharon Coleman
Gillespie Cusd 7,Regular school,IL,171668001973,Luminary,3,Brandon Berry
Oak Hill R-I,Regular school,MO,292304001319,Odyssey,3,Jacob Key
Kentwood Public Schools,Regular school,MI,262034007683,Horizon,3,Hayden Mills
Sc Public Charter School District,Regular school,SC,450390101176,Luminary,3,Jordan Walker
City Of Chicago Sd 299,Regular school,IL,170993001198,Endeavor,3,Tiffany Nash
St. Vrain Valley School District No. Re1J,Regular school,CO,80537001572,Luminary,2,Jackson Martinez
Philadelphia City Sd,Regular school,PA,421899003860,Odyssey,3,Karla Henson
Franklin-Essex-Hamilton Boces,Special education school,NY,368034004633,Luminary,2,Sharon Coleman
Converse County School District #2,Regular school,WY,560215000141,Apex,1,Samantha Jackson
Alameda Unified,Regular school,CA,60177000003,Endeavor,1,Connor Banks
Show Low Unified District (4393),Regular school,AZ,40770001253,Apex,2,Emily Levy
Walled Lake Consolidated Schools,Regular school,MI,263516007674,Endeavor,1,Bobby Curry
Stillwater,Regular school,OK,402868029742,Odyssey,3,Karla Henson
District Of Columbia Public Schools,Regular school,DC,110003000002,Genesis,2,Nancy Carroll
Baltimore City Public Schools,Regular school,MD,240009000148,Luminary,3,Tina Johnson
Orange,Regular school,FL,120144002687,Apex,3,Matthew King
Columbia,Regular school,FL,120036007700,Apex,2,Matthew King
Aspermont Isd,Regular school,TX,480000600274,Genesis,3,Mary Castro
Te Tsu Geh Oweenge Day School,Regular school,BI,590003900098,Horizon,1,Hayden Mills
Lynn,Regular school,MA,250711002658,Luminary,1,Tina Johnson
Winston Salem / Forsyth County Schools,Regular school,NC,370150000630,Apex,3,Emily Levy
Naugatuck School District,Regular school,CT,90264000508,Horizon,2,Raven Bowman
Gainesville City,Regular school,GA,130231001048,Apex,2,Brian Lowe
Genesee Isd,Special education school,MI,268040000130,Genesis,2,Paul Perry
Cabot School District,Regular school,AR,50375000399,Odyssey,3,Eileen Williams
Kingsburg Elementary Charter,Regular school,CA,61980002380,Genesis,3,Mary Castro
Central Unified,Regular school,CA,60797010493,Odyssey,3,Troy Collins
Warrick County School Corp,Regular school,IN,181239001983,Luminary,2,Jordan Walker
Loudoun Co Pblc Schs,Regular school,VA,510225002865,Horizon,1,Raven Bowman
Frederick County Public Schools,Regular school,MD,240033000657,Luminary,1,Sharon Coleman
White Oak Isd,Regular school,TX,484548005173,Genesis,1,Stephanie Arroyo
Parkway C-2,Regular school,MO,292358001393,Luminary,2,Jordan Walker
Middlesex County Vocational And Technical School District,Career and Technical School,NJ,341008003428,Genesis,2,Larry Howard
Comal Isd,Regular school,TX,481473000966,Luminary,3,Brandon Berry
Fresno Unified,Regular school,CA,61455003010,Apex,2,Deborah Bell
Northwestern Illinois Assn,Special education school,IL,172902006596,Odyssey,2,Karla Henson
Harvest Power Community Development Group Inc. (79501),Regular school,AZ,40028203457,Luminary,3,Jason Owen
West Valley School District (Yakima),Regular school,WA,530972002545,Odyssey,3,Sean Green
South Barber,Regular school,KS,200813001933,Apex,3,Candice Ramos
Richland 01,Regular school,SC,450336001195,Luminary,1,Brandon Berry
Edison Joint District No. 54 Of The Counties Of El Paso And,Regular school,CO,80363006648,Genesis,2,Dana Gray
Community Schools Of Frankfort,Regular school,IN,180366002432,Luminary,2,Catherine Wood
Butte Falls Sd 91,Regular school,OR,410258000426,Apex,2,Samantha Jackson
Saint Croix School District,Regular school,VI,780000200013,Apex,3,Candice Ramos
Dayton City,Regular school,OH,390438400791,Luminary,1,Tina Johnson
Mount Olive Township School District,Regular school,NJ,341098004412,Odyssey,3,Karla Henson
Richardson Isd,Regular school,TX,483702004140,Odyssey,2,Tony Hoffman
Plainfield Sd 202,Regular school,IL,173174005749,Odyssey,3,Steven Lamb
Brownsburg Community School Corp,Regular school,IN,180102000178,Genesis,2,Jacqueline Barnes
Black Horse Pike Regional School District,Regular school,NJ,340177000425,Genesis,3,Dana Gray
Va Beach City Pblc Schs,Regular school,VA,510384001717,Luminary,2,Jason Owen
Duluth Public School District,Regular school,MN,271104000471,Luminary,1,Tina Johnson
Lawrence County,Regular school,AL,10204000779,Luminary,2,Andrew Woodward
Leon,Special education school,FL,120111002079,Apex,3,Deborah Bell
Gwinnett County,Regular school,GA,130255002040,Odyssey,2,Erika Stewart
Imlay City Community Schools,Regular school,MI,261910005591,Apex,2,Gregory Ruiz
Transylvania County Schools,Regular school,NC,370453001782,Endeavor,3,Bobby Curry
Cumberland County Schools,Regular school,NC,370001100437,Odyssey,3,Karla Henson
Piscataway Township School District,Regular school,NJ,341305003572,Odyssey,3,Sean Green
Desoto Isd,Regular school,TX,481686013368,Apex,3,Emily Levy
Manteca Unified,Regular school,CA,62361003578,Luminary,2,Amanda Becker
Guilford County Schools,Regular school,NC,370192002774,Horizon,2,Nathan Medina
Dover #1 School District,Regular school,WI,550375000394,Endeavor,3,Dennis Meyer
Calaveras Unified,Regular school,CA,60687009522,Apex,2,Matthew King
Clovis Unified,Regular school,CA,60903005747,Endeavor,2,Randy Chavez
Arbor Academy,Regular school,MI,260018101053,Endeavor,2,Laura Callahan
Clinton Comm School District,Regular school,IA,190771000597,Apex,3,Samantha Jackson
Fayette County,Regular school,GA,130213002118,Apex,3,Gregory Ruiz
Richmond City Pblc Schs,Regular school,VA,510324001361,Apex,1,Michael Massey
Staples-Motley School District,Regular school,MN,273390001643,Odyssey,2,Eric Rose
Oyster River Coop School District,Regular school,NH,330552000520,Endeavor,1,Stacey Mays
Cortland City School District,Regular school,NY,360846000650,Horizon,2,Amy Carter
Clear Creek Isd,Regular school,TX,481428007004,Odyssey,2,Jacob Key
Miami-Dade,Regular school,FL,120039000516,Luminary,2,Tina Johnson
Wayzata Public School District,Alternative Education School,MN,274216003521,Endeavor,2,Joshua Grant
Windsor Locks School District,Regular school,CT,90525001097,Horizon,1,Raven Bowman
Butler Area Sd,Regular school,PA,420459001142,Apex,3,Henry Gordon
Pasco,Regular school,FL,120153008598,Horizon,1,Nathan Medina
Bossier Parish,Regular school,LA,220027000116,Apex,2,Candice Ramos
Long Beach Unified,Regular school,CA,62250002702,Horizon,1,Diana Joseph
Webb City R-Vii,Regular school,MO,293150002184,Horizon,2,Mathew Clarke
City Of Chicago Sd 299,Regular school,IL,170993000646,Odyssey,1,Troy Collins
Amarillo Isd,Regular school,TX,480813000151,Odyssey,3,Troy Collins
Eufaula City,Regular school,AL,10141002439,Luminary,2,Andrew Woodward
Redlands Unified,Regular school,CA,63207002617,Luminary,1,Brandon Berry
Cainsville R-I,Regular school,MO,290645000164,Genesis,1,Debra Smith
